"threshold_lux","threshold_log","indoor_precision","outdoor_precision","overall_accuracy","sensitivity","specificity","f1_score","auc"
38,1.57978359661681,0.871584699453552,0.225806451612903,0.592248062015504,0.572727272727273,0.596261682242991,0.323907455012853,0.616270178419711
39,1.5910646070265,0.871934604904632,0.226618705035971,0.593798449612403,0.572727272727273,0.598130841121495,0.324742268041237,0.616270178419711
40,1.60205999132796,0.873315363881402,0.22992700729927,0.6,0.572727272727273,0.605607476635514,0.328125,0.616270178419711
41,1.61278385671974,0.874666666666667,0.233333333333333,0.606201550387597,0.572727272727273,0.613084112149533,0.331578947368421,0.616270178419711
42,1.6232492903979,0.875,0.234200743494424,0.607751937984496,0.572727272727273,0.614953271028037,0.33245382585752,0.616270178419711
43,1.63346845557959,0.872679045092838,0.23134328358209,0.606201550387597,0.563636363636364,0.614953271028037,0.328042328042328,0.616270178419711
44,1.64345267648619,0.872679045092838,0.23134328358209,0.606201550387597,0.563636363636364,0.614953271028037,0.328042328042328,0.616270178419711
45,1.65321251377534,0.873015873015873,0.232209737827715,0.607751937984496,0.563636363636364,0.616822429906542,0.328912466843501,0.616270178419711
46,1.66275783168157,0.87335092348285,0.233082706766917,0.609302325581395,0.563636363636364,0.618691588785047,0.329787234042553,0.616270178419711
47,1.67209785793572,0.874015748031496,0.234848484848485,0.612403100775194,0.563636363636364,0.622429906542056,0.331550802139037,0.616270178419711
48,1.68124123737559,0.87467362924282,0.236641221374046,0.615503875968992,0.563636363636364,0.626168224299065,0.333333333333333,0.616270178419711
49,1.69019608002851,0.875,0.237547892720307,0.617054263565891,0.563636363636364,0.62803738317757,0.334231805929919,0.616270178419711
50,1.69897000433602,0.872727272727273,0.234615384615385,0.615503875968992,0.554545454545455,0.62803738317757,0.32972972972973,0.616270178419711
51,1.70757017609794,0.873056994818653,0.235521235521236,0.617054263565891,0.554545454545455,0.629906542056075,0.330623306233062,0.616270178419711
52,1.7160033436348,0.873385012919897,0.236434108527132,0.618604651162791,0.554545454545455,0.631775700934579,0.331521739130435,0.616270178419711
53,1.72427586960079,0.873711340206186,0.237354085603113,0.62015503875969,0.554545454545455,0.633644859813084,0.332425068119891,0.616270178419711
54,1.73239375982297,0.874035989717224,0.23828125,0.621705426356589,0.554545454545455,0.635514018691589,0.333333333333333,0.616270178419711
55,1.74036268949424,0.874358974358974,0.23921568627451,0.623255813953488,0.554545454545455,0.637383177570093,0.334246575342466,0.616270178419711
56,1.7481880270062,0.875,0.241106719367589,0.626356589147287,0.554545454545455,0.641121495327103,0.336088154269972,0.616270178419711
57,1.75587485567249,0.875,0.241106719367589,0.626356589147287,0.554545454545455,0.641121495327103,0.336088154269972,0.616270178419711
58,1.76342799356294,0.875,0.241106719367589,0.626356589147287,0.554545454545455,0.641121495327103,0.336088154269972,0.616270178419711
59,1.77085201164214,0.875318066157761,0.242063492063492,0.627906976744186,0.554545454545455,0.642990654205608,0.337016574585635,0.616270178419711
60,1.77815125038364,0.875634517766497,0.243027888446215,0.629457364341085,0.554545454545455,0.644859813084112,0.337950138504155,0.616270178419711
61,1.78532983501077,0.875949367088608,0.244,0.631007751937985,0.554545454545455,0.646728971962617,0.338888888888889,0.616270178419711
62,1.79239168949825,0.874371859296482,0.242914979757085,0.632558139534884,0.545454545454545,0.650467289719626,0.336134453781513,0.616270178419711
63,1.79934054945358,0.872817955112219,0.241803278688525,0.634108527131783,0.536363636363636,0.654205607476635,0.333333333333333,0.616270178419711
64,1.80617997398389,0.873134328358209,0.242798353909465,0.635658914728682,0.536363636363636,0.65607476635514,0.334277620396601,0.616270178419711
65,1.81291335664286,0.873134328358209,0.242798353909465,0.635658914728682,0.536363636363636,0.65607476635514,0.334277620396601,0.616270178419711
66,1.81954393554187,0.870967741935484,0.239669421487603,0.634108527131783,0.527272727272727,0.65607476635514,0.329545454545455,0.616270178419711
67,1.82607480270083,0.871287128712871,0.240663900414938,0.635658914728682,0.527272727272727,0.657943925233645,0.33048433048433,0.616270178419711
68,1.83250891270624,0.87192118226601,0.242677824267782,0.638759689922481,0.527272727272727,0.661682242990654,0.332378223495702,0.616270178419711
69,1.83884909073726,0.873170731707317,0.246808510638298,0.644961240310078,0.527272727272727,0.669158878504673,0.336231884057971,0.616270178419711
70,1.84509804001426,0.873170731707317,0.246808510638298,0.644961240310078,0.527272727272727,0.669158878504673,0.336231884057971,0.616270178419711
71,1.85125834871908,0.87378640776699,0.248927038626609,0.648062015503876,0.527272727272727,0.672897196261682,0.338192419825073,0.616270178419711
72,1.85733249643127,0.871670702179177,0.245689655172414,0.646511627906977,0.518181818181818,0.672897196261682,0.333333333333333,0.616270178419711
73,1.86332286012046,0.872289156626506,0.247826086956522,0.649612403100775,0.518181818181818,0.676635514018692,0.335294117647059,0.616270178419711
