data,log,l2,pca,hour,split,target,binary,imbalance,trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
alpha,FALSE,Exclude Intensity,TRUE,TRUE,stratified,location,TRUE,smote_tomek,24,0.6133490922223317,-3.795641911380921,-2.622642219590964,0,2,2,203,89,154,215,1
alpha,FALSE,Exclude Intensity,TRUE,FALSE,parwise,light_type,TRUE,None,20,0.8620773646513588,-3.3368359541293895,-2.1146637769195324,0.30497265144560654,2,1,24,55,77,226,0
alpha,FALSE,Exclude Intensity,TRUE,FALSE,parwise,light_type,TRUE,smote_tomek,30,0.8614848851906467,-0.3,-4.417548591981522,0.4509559897445319,4,0,236,65,256,39,1
alpha,FALSE,Exclude Intensity,TRUE,FALSE,parwise,location,TRUE,None,27,0.6336791896144769,-0.807789970919012,-4.872315606464767,0.3995064721025205,0,3,30,194,0,171,0
alpha,FALSE,Exclude Intensity,TRUE,FALSE,parwise,location,TRUE,smote_tomek,18,0.645898898505114,-2.632051073379883,-4.027214812363955,0.7,4,0,133,0,33,0,1
alpha,FALSE,Exclude Intensity,TRUE,FALSE,stratified,light_type,TRUE,None,10,0.8421652421652421,-2.1009842890267754,-3.470935299364371,0.32589655225618086,2,0,52,246,161,5,1
alpha,FALSE,Exclude Intensity,TRUE,FALSE,stratified,light_type,TRUE,smote_tomek,15,0.8410423998659293,-4,-1,0,0,0,256,256,256,256,1
alpha,FALSE,Exclude Intensity,TRUE,FALSE,stratified,location,TRUE,None,11,0.6039265898420828,-2.887696236427737,-3.793173183128176,0.6468821727736214,2,2,256,38,23,0,1
alpha,FALSE,Exclude Intensity,TRUE,FALSE,stratified,location,TRUE,smote_tomek,8,0.6016612495485735,-3.695029197890402,-5,0.4170704508324545,2,1,185,193,166,60,0
alpha,FALSE,Include Intensity,TRUE,TRUE,parwise,light_type,TRUE,None,47,0.9242021276595744,-1.2775229490983722,-1,0.7,0,3,256,0,157,146,1
alpha,FALSE,Include Intensity,TRUE,TRUE,parwise,light_type,TRUE,smote_tomek,39,0.8931957025489782,-2.2785322594190607,-4.457562435211869,0.3339145327334449,2,0,8,9,152,219,1
alpha,FALSE,Include Intensity,TRUE,TRUE,parwise,location,TRUE,None,8,0.691089693154996,-1.4452915809090312,-2.9372319593772285,0.6861598104862665,3,2,49,246,6,0,0
alpha,FALSE,Include Intensity,TRUE,TRUE,parwise,location,TRUE,smote_tomek,21,0.6906840086546026,-0.8992711000854445,-3.312100665077689,0.6454557272427369,1,3,54,0,117,216,0
alpha,FALSE,Include Intensity,TRUE,TRUE,stratified,light_type,TRUE,None,20,0.9093933299815652,-1.4306384011857638,-5,0.26698158978433945,0,0,256,0,256,0,1
alpha,FALSE,Include Intensity,TRUE,TRUE,stratified,light_type,TRUE,smote_tomek,41,0.864035528741411,-4,-1.252187466482598,0.08232756254195002,2,2,126,142,238,188,1
alpha,FALSE,Include Intensity,TRUE,TRUE,stratified,location,TRUE,None,28,0.662070324042155,-1.3700086804069067,-4.883902197801257,0.21413567749195933,1,0,43,59,163,186,1
alpha,FALSE,Include Intensity,TRUE,TRUE,stratified,location,TRUE,smote_tomek,15,0.6131192750911061,-2.5858914821132326,-4.893605497034758,0.6531488563896946,2,0,56,0,7,256,0
alpha,FALSE,Include Intensity,TRUE,FALSE,parwise,light_type,TRUE,None,35,0.8638416368232568,-3.2966837694885656,-5,0.7,0,0,110,256,0,256,1
alpha,FALSE,Include Intensity,TRUE,FALSE,parwise,light_type,TRUE,smote_tomek,5,0.8608529070992206,-1.7430123662043022,-1.6672203530553418,0.12135525745544049,2,1,195,109,53,145,0
alpha,FALSE,Include Intensity,TRUE,FALSE,parwise,location,TRUE,None,45,0.6882376081825334,-0.6835917657135973,-4.926662322048259,0.06392956410289895,2,0,8,106,0,0,0
alpha,FALSE,Include Intensity,TRUE,FALSE,parwise,location,TRUE,smote_tomek,15,0.6862091856805664,-1.298679743444041,-4.608920341345861,0.5961977275162572,2,2,63,76,242,18,1
alpha,FALSE,Include Intensity,TRUE,FALSE,stratified,light_type,TRUE,None,6,0.837355455002514,-0.41238922518540866,-5,0.5003949992803335,2,3,55,0,256,42,1
alpha,FALSE,Include Intensity,TRUE,FALSE,stratified,light_type,TRUE,smote_tomek,31,0.8451985922574159,-1.9209734470237232,-4.153125288275679,0.15300309362936254,0,3,38,223,131,113,1
alpha,FALSE,Include Intensity,TRUE,FALSE,stratified,location,TRUE,None,36,0.6331133655077317,-2.6889498496355806,-4.318938675527725,0.1411019217414906,3,0,8,167,166,0,0
alpha,FALSE,Include Intensity,TRUE,FALSE,stratified,location,TRUE,smote_tomek,9,0.6201451131028596,-3.4085449316910528,-3.6902224367135066,0.10964026293066367,0,0,19,143,156,148,0
alpha,TRUE,False,FALSE,TRUE,parwise,light_type,TRUE,None,44,0.9361424756618096,-1.0523398878169297,-1.3926571650983712,0.6885482392304905,0,3,11,14,132,12,1
alpha,TRUE,False,FALSE,TRUE,parwise,light_type,TRUE,smote_tomek,8,0.8882335625223408,-4,-1,0.49885047835601926,2,3,8,57,0,0,1
alpha,TRUE,False,FALSE,TRUE,parwise,location,TRUE,None,28,0.7269123033828917,-3.5386144708734375,-5,0.1586474454491841,2,0,89,242,256,0,1
alpha,TRUE,False,FALSE,TRUE,parwise,location,TRUE,smote_tomek,37,0.6647705235940531,-3.1013287593399435,-2.237375108923467,0,3,0,256,256,0,256,1
alpha,TRUE,False,FALSE,TRUE,stratified,light_type,TRUE,None,40,0.8909934580861099,-3.2450929767814625,-5,0,1,3,256,0,157,256,1
alpha,TRUE,False,FALSE,TRUE,stratified,light_type,TRUE,smote_tomek,33,0.8821141584719859,-2.9929677718804015,-3.9298528290490777,0.04061578136078173,2,2,118,0,0,47,1
alpha,TRUE,False,FALSE,TRUE,stratified,location,TRUE,None,29,0.7019290780141844,-0.9070959793138372,-5,0.10701903178685304,2,1,76,25,245,83,0
alpha,TRUE,False,FALSE,TRUE,stratified,location,TRUE,smote_tomek,39,0.6900992907801419,-2.8497889849412483,-1.6002862364606023,0.37963100261364624,4,3,187,231,232,43,1
alpha,TRUE,False,FALSE,FALSE,parwise,light_type,TRUE,None,29,0.877194642444122,-2.101482985546794,-4.194754550198876,0.6087892834784296,0,0,256,0,0,211,1
alpha,TRUE,False,FALSE,FALSE,parwise,light_type,TRUE,smote_tomek,29,0.877941083706554,-1.70953207171112,-5,0.5108398430163001,4,0,256,256,256,256,1
alpha,TRUE,False,FALSE,FALSE,parwise,location,TRUE,None,40,0.6711484593837536,-2.2571243648409096,-1.4981745792819838,0,2,3,201,9,179,152,1
alpha,TRUE,False,FALSE,FALSE,parwise,location,TRUE,smote_tomek,50,0.6799181210945917,-4,-5,0,0,3,256,256,256,0,1
alpha,TRUE,False,FALSE,FALSE,stratified,light_type,TRUE,None,38,0.8627097077576312,-3.496212501751393,-4.731447985054206,0,2,2,256,50,93,165,1
alpha,TRUE,False,FALSE,FALSE,stratified,light_type,TRUE,smote_tomek,12,0.8531665352751616,-3.933340669796463,-3.3179369649703316,0.07674197392178315,0,0,256,109,141,31,1
alpha,TRUE,False,FALSE,FALSE,stratified,location,TRUE,None,18,0.6896737588652483,-3.0020352898039295,-4.3160232367793885,0,0,1,72,68,4,256,0
alpha,TRUE,False,FALSE,FALSE,stratified,location,TRUE,smote_tomek,34,0.6888510638297872,-4,-1.1539575611917714,0.5941301830290822,3,3,225,256,0,0,1
alpha,TRUE,Include Intensity,FALSE,TRUE,parwise,light_type,TRUE,None,18,0.933009525011039,-1.7852575543875968,-1.8483067446835095,0.10829348268672336,1,2,192,216,70,40,1
alpha,TRUE,Include Intensity,FALSE,TRUE,parwise,light_type,TRUE,smote_tomek,29,0.8901049223070292,-0.3,-5,0,3,3,128,44,2,28,1
